col,param,coef,se,pval,rkf,nobs
IV1,var3,-9.263295220308624,4.0135946,.021005984,123.43131,224708
IV1,var5,12.45296429766657,5.3928666,.020940708,123.43131,224708
IV2,var3,-6.369427665155476,4.0452447,.11536999,117.69449,224708
IV2,var5,9.933658032305916,5.4571342,.068720736,117.69449,224708
IV3,var3,-8.231467673428799,7.9493909,.30044994,27.862852,224708
IV3,var5,20.49326828905294,10.21583,.044860546,27.862852,224708
IV4,var3,92.91516225161543,71.826805,.195812,.61386782,224708
IV4,var5,-75.4678002592397,72.125732,.29541272,.61386782,224708
IV4,postgrow,-108.0243824005775,64.281044,.092868619,.61386782,224708
IV4,postgrow_startup,173.4874887110993,103.01144,.092160054,.61386782,224708
IV5,var3,-11.6993783983118,5.4928694,.033185057,19.657095,222099
IV5,var5,22.92487583825554,8.5155239,.0071031423,19.657095,222099
IV5,postgrow,-1.950623962938196,10.965567,.85881329,19.657095,222099
IV5,postgrow_startup,-16.09748949990944,18.552402,.3855772,19.657095,222099
IV6,var3,-5.899235445797154,4.9020705,.22882307,16.795347,222099
IV6,var5,21.0147371172923,7.3355842,.0041756388,16.795347,222099
IV6,postgrow,-18.60621639025474,8.5736361,.030000918,16.795347,222099
IV6,postgrow_startup,3.35579472224507,16.923641,.84281904,16.795347,222099
